Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,10415,3,"M,W13.30-14.45",VUB 125,Aug 22--Dec 09,R Boyer
ACCTG,230,Introduction to Financial Accounting,02,10442,3,"TU,TH13.30-14.45",VMMC 22,Aug 22--Dec 09,R Boyer
ACCTG,231,Introduction to Managerial Accounting,01,10431,3,"TU,TH16.20-17.35",VUB 225,Aug 22--Dec 09,R Boyer
ACCTG,330,Intermediate Accounting I,01,10432,3,"TU,TH12.05-13.20",VMMC 217,Aug 22--Dec 09,""
ACCTG,331,Intermediate Accounting II,01,10416,3,"TU,TH12.05-13.20",VUB 121,Aug 22--Dec 09,L Xu
ACCTG,335,Taxation of Business Entities and Individuals,01,10417,3,"TU,TH16.20-17.35",VUB 125,Aug 22--Dec 09,""
ACCTG,433,[M] Accounting Systems and Auditing,01,10418,3,"TU,TH17.45-19",VMMC 22,Aug 22--Dec 09,""
ACCTG,438,[M] Advanced Cost Accounting and Management,01,10454,3,"TU,TH10.35-11.50",VUB 121,Aug 22--Dec 09,L Xu
AERO,101,Heritage and Values I,01,12190,1,TU10-11.30,ARR ARR,Aug 22--Dec 09,""
AERO,101,Heritage and Values I,02,12191,1,TU14-15.30,ARR ARR,Aug 22--Dec 09,""
AERO,103,Leadership Laboratory I,01,12193,2,TU16.10-19.20,ARR ARR,Aug 22--Dec 09,""
AERO,201,Team and Leadership Fundamentals I,01,12194,1,TU8-9.30,ARR ARR,Aug 22--Dec 09,""
AERO,201,Team and Leadership Fundamentals I,02,12195,1,TU12-13.30,ARR ARR,Aug 22--Dec 09,""
AERO,203,Leadership Laboratory II,01,12196,2,TU16.10-19.20,ARR ARR,Aug 22--Dec 09,""
AERO,311,Leading People and Effective Communication I,01,12197,3,TU7-9.30,ARR ARR,Aug 22--Dec 09,""
AERO,313,Leadership Laboratory III,01,12202,2,TU16.10-19.20,ARR ARR,Aug 22--Dec 09,""
AERO,411,"National Security, Leadership, and Commissioning Preparation I",01,12203,3,TU7-9.30,ARR ARR,Aug 22--Dec 09,""
AERO,413,Leadership Laboratory IV,01,12204,2,TU16.10-19.20,ARR ARR,Aug 22--Dec 09,""
ANTH,101,[DIVR] Introduction to Anthropology,01,10532,3,"M,W9.10-10",VDEN 110,Aug 22--Dec 09,N Hess
ANTH,130,[SSCI] Great Discoveries in Archaeology,01,11264,3,"TU,TH10.35-11.50",VMMC 217,Aug 22--Dec 09,K Shantry
ANTH,203,[DIVR] Global Cultural Diversity,01,10533,3,W13.30-14.45,VUB 107,Aug 22--Dec 09,K Dhawan
ANTH,205,"[SSCI] Health, Healing, and Medicine Across Cultures",01,16101,3,TH10.35-11.50,VMMC 214,Aug 25--Aug 25,B Hewlett
