Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,08994,3,"M,W,F13.10-14",TFLO 244,Aug 22--Dec 09,K Jones
ACCTG,231,Introduction to Managerial Accounting,01,08948,3,"TU,TH13.30-14.45",TFLO 230,Aug 22--Dec 09,K Jones
ACCTG,338,Cost Accounting,01,08949,3,"TU,TH16.20-17.35",TCOL 126,Aug 22--Dec 09,K Jones
AFS,511,Statistical Methods for Graduate Researchers,01,09289,4,"TU,TH12.05-13.20",TFLO 260,Aug 22--Dec 09,T Northfield
AFS,511,Statistical Methods for Graduate Researchers,01 Lab,09290,0,ARRGT,TFLO 260,Aug 22--Dec 09,T Northfield
AGRI,587,Research and Extension Communications in Agriculture,01,"",3,ARRGT,ARR ARR,Aug 22--Dec 09,C Perillo
AIS,331,[SSCI] Archaeology of the Americas,01,16119,3,"M,W,F14.10-15",TCOL 126,Aug 22--Dec 09,M Mansperger
ANTH,101,[DIVR] Introduction to Anthropology,01,09010,3,"M,W,F11.10-12",TCIC 216,Aug 22--Dec 09,M Mansperger
ANTH,101,[DIVR] Introduction to Anthropology,02,16121,3,"TU,TH10.35-11.50",TFLO 252,Aug 22--Dec 09,M Mansperger
ANTH,203,[DIVR] Global Cultural Diversity,02,"",3,ARRGT,ARR ARR,Aug 22--Dec 09,C Heckelsmiller
ANTH,260,[BSCI] Introduction to Biological Anthropology,02,"",4,ARRGT,ARR ARR,Aug 22--Dec 09,V Black
ANTH,260,[BSCI] Introduction to Biological Anthropology,02 Lab,"",0,ARRGT,ARR ARR,Aug 22--Dec 09,V Black
ANTH,331,[SSCI] Archaeology of the Americas,01,16120,3,"M,W,F14.10-15",TCOL 126,Aug 22--Dec 09,M Mansperger
ANTH,350,"[DIVR] Speech, Thought, and Culture",01,16122,3,"TU,TH13.30-14.45",TFLO 243,Aug 22--Dec 09,M Mansperger
ANTH,404,[CAPS] The Self in Culture,01,"",3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mageo
ANTH,498,Anthropology Internship,01,"",V,ARRGT,ARR ARR,Aug 22--Dec 09,M Mansperger
ASIA,476,"[M] Revolutionary China, 1800 to Present",01,16724,3,"TU,TH13.30-14.45",TFLO 247,Aug 22--Dec 09,X Wang
B_A,100,Introduction to Business,01,"",3,ARRGT,ARR ARR,Oct 17--Dec 11,C Cooney
B_A,100,Introduction to Business,02,16099,3,"TU,TH13.30-14.45",TCOL 126,Aug 22--Dec 09,P Skilton
B_A,102,Exploring Careers in Business,01,"",1,ARRGT,ARR ARR,Aug 22--Oct 09,S Billington
B_A,211,"Ethics, Teams, and Innovation",01,09862,3,"TU,TH10.35-11.50",TCOL 126,Aug 22--Dec 09,J Bravo
B_A,211,"Ethics, Teams, and Innovation",02,"",3,ARRGT,ARR ARR,Oct 17--Dec 11,N Yaws-Gonzalez
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",02,10119,3,"TU,TH16.20-17.35",TFLO 230,Aug 22--Dec 09,S Koopman
B_LAW,210,Law and the Legal Environment of Business,01,08951,3,"M,W17.45-19",TCOL 126,Aug 22--Dec 09,B Goodey
