Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
COMHLTH,573,Communicating Health in a Digital Landscape,01,"",3,ARRGT,ARR ARR,Jan 10--Apr 29,C Thomas
E_A,300,Educ Abroad,02,30980,V,ARRGT,ARR ARR,Jan 10--Apr 29,""
E_A,301,Educ Abroad,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,""
ED_AD,503,Values and Ethics for Educational Leaders,01,27678,3,TU17.45-20.30,VC ARR,Jan 10--Apr 29,J Walls
ED_AD,503,Values and Ethics for Educational Leaders,"","","",TU17.45-18.45,SAC 41,"",""
ED_AD,503,Values and Ethics for Educational Leaders,"","","",TU17.45-18.45,SAC 41,"",""
ED_AD,503,Values and Ethics for Educational Leaders,"","","",TU17.45-20.30,SAC 41,"",""
ED_AD,503,Values and Ethics for Educational Leaders,"","","",TU17.45-18.45,SAC 41,"",""
ED_AD,516,Instructional and Curricular Leadership,01,28179,3,W17.45-20.30,VC ARR,Jan 12--Feb 23,J Walls
ED_AD,516,Instructional and Curricular Leadership,"","","",SA9-15,SAC 249,"",""
ED_AD,516,Instructional and Curricular Leadership,"","","",W17.45-20.30,VC ARR,"",""
ED_AD,516,Instructional and Curricular Leadership,"","","",W17.45-18.45,VC ARR,"",""
ED_AD,516,Instructional and Curricular Leadership,"","","",SA9-15,SAC 249,"",""
ED_AD,521,Topics in Education,01,27659,3,M17.45-20.30,VC ARR,Jan 10--Apr 29,K Rodela
ED_AD,521,Topics in Education,"","","",M17.45-20.30,SAC 205,"",""
ED_AD,521,Topics in Education,"","","",M17.45-20.30,SAC 205,"",""
ED_AD,521,Topics in Education,"","","",M17.45-20.30,SAC 205,"",""
ED_AD,521,Topics in Education,"","","",M17.45-20.30,SAC 205,"",""
ED_AD,521,Topics in Education,02,"",3,ARRGT,ARR ARR,Jan 10--Apr 29,G Hill
ED_AD,522,Topics in Education,01,27667,3,ARRGT,ARR ARR,Jan 10--Apr 29,M Dunn
ED_AD,587,Seminar in School Administration,01,27665,3,ARRGT,ARR ARR,Jan 10--Apr 29,G Hill
ED_AD,590,Internship,01,27661,V,ARRGT,ARR ARR,Jan 10--Apr 29,R Mcbride
ED_AD,590,Internship,02,27662,3,ARRGT,ARR ARR,Jan 10--Apr 29,G Hill
ED_AD,591,Action Research,01,27728,3,W17.45-20.30,VC ARR,Jan 10--Apr 29,S Calderone
ED_AD,591,Action Research,"","","",W17.45-20.30,SAC 41,"",""
ED_AD,591,Action Research,"","","",W17.45-20.30,SAC 41,"",""
ED_AD,591,Action Research,"","","",W17.45-20.30,SAC 41,"",""
ED_AD,591,Action Research,"","","",W17.45-20.30,SAC 41,"",""
ED_AD,600,Special Projects or Independent Study,01,27668,3,ARRGT,ARR ARR,Jan 10--Apr 29,G Hill
ED_AD,702,"Master's Special Problems, Directed Study, and/or Examination",01,27666,2,ARRGT,ARR ARR,Jan 10--Apr 29,J Walls
ED_AD,800,"Doctoral Research, Dissertation, and/or Examination",01,27669,V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
ED_MTHSC,598,Research Seminar in Mathematics and Science Education,01,27693,1,W16.30-17.30,SAC 205,Jan 10--Apr 29,A Cavagnetto
ED_PSYCH,505,Research Methods I,01,27658,3,ARRGT,ARR ARR,Jan 10--Apr 29,H Liao
ED_PSYCH,508,Educational Statistics,01,28077,3,W16.10-19,SAC 343,Jan 10--Apr 29,B French
ED_RES,562,"Epistemology, Inquiry, and Representation",01,28388,3,TU17.45-20.30,SAC 341,Jan 10--Apr 29,A Rud
ED_RES,563,Principles of Research,01,27655,3,TU17.45-20.30,SAC 249,Jan 10--Apr 29,R Danielson
ED_RES,563,Principles of Research,02,27709,3,TU17.45-20.30,SAC 343,Jan 10--Apr 29,H Liao
ED_RES,564,Qualitative Research,01,27746,3,TH17.45-20.30,VC ARR,Jan 10--Mar 31,S Finley
ED_RES,564,Qualitative Research,"","","",TH17.45-20.30,SAC 41,"",""
ED_RES,564,Qualitative Research,"","","",TH17.45-20.30,SAC 41,"",""
ED_RES,564,Qualitative Research,"","","",TH17.45-20.30,SAC 41,"",""
ED_RES,564,Qualitative Research,"","","",TH17.45-20.30,SAC 41,"",""
ED_RES,564,Qualitative Research,02,28185,3,TU17.45-20.35,SAC 205,Jan 10--Apr 29,A Roth-Mcduffie
H_D,220,Human Development Theories,01,27702,3,ARRGT,ARR ARR,Jan 10--Apr 29,B Hernandez
H_D,560,Seminar in Child Development,01,28065,3,W15.10-18,SNRS 201,Jan 10--Apr 29,S Perone
H_D,600,Special Projects or Independent Study,01,27710,V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
HONORS,450,Honors Thesis or Project,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,""
MIT,505,Classroom Management Seminar,01,27695,3,M16.10-19,SCRS 255,Jan 10--Apr 29,A Segadelli
MIT,507,Teacher Inquiry and Praxis,01,28191,3,W17.15-20,VC ARR,Jan 10--Apr 29,J Firestone
MIT,575,Internship and Seminar,01,27716,10,TU15-18,SCRS 250,Jan 11--Jan 11,A Segadelli
MIT,575,Internship and Seminar,"","","",TU15-18,SCRS 250,"",""
MIT,575,Internship and Seminar,"","","",TU15-18,SCRS 250,"",""
MIT,575,Internship and Seminar,"","","",TU15-18,SCRS 250,"",""
MIT,575,Internship and Seminar,"","","",TU15-18,SCRS 250,"",""
MIT,575,Internship and Seminar,01 Lab,27721,0,ARRGT,ARR ARR,Jan 10--Apr 29,A Segadelli
NEP,200,[SSCI] Place and Health,01,28161,3,"TU,TH9.10-10.25",SCRS 250,Jan 10--Apr 29,O Amram
NEP,402,Vitamin and Mineral Metabolism,01,30239,3,"M,W13.10-14.25",SHER 310,Jan 10--Apr 29,P Solverson
NEP,427,[M] Nutritional Assessment and Lifestyle Counseling,01,30241,3,"M,W15.10-16",SHER 310,Jan 10--Apr 29,J Larsen
NEP,427,[M] Nutritional Assessment and Lifestyle Counseling,01 Lab,30243,0,TU9.10-12,SHER 334,Jan 10--Apr 29,J Larsen
NEP,427,[M] Nutritional Assessment and Lifestyle Counseling,02 Lab,30244,0,TU13.10-16,SHER 334,Jan 10--Apr 29,J Larsen
NEP,435,Applied Pathophysiology,01,30240,4,"M,W10.10-11.50",SHER 310,Jan 10--Apr 29,""
NEP,450,Management and Facilities,01,30268,3,"TU,TH9.10-10.25",SCRS 255,Jan 10--Apr 29,K Frederick
NEP,476,Exercise Testing and Prescription,01,30242,3,"M,W16.10-17",SHER 310,Jan 10--Apr 29,J Larsen
NEP,476,Exercise Testing and Prescription,01 Lab,30245,0,TH9.10-12,SHER 301,Jan 10--Apr 29,J Larsen
NEP,476,Exercise Testing and Prescription,02 Lab,30246,0,TH13.10-16,SHER 301,Jan 10--Apr 29,J Larsen
NEP,480,Cardiopulmonary Rehabilitation,01,30247,4,"TU,TH11.10-12.25",SCRS 255,Jan 10--Apr 29,H Haverkamp
NEP,480,Cardiopulmonary Rehabilitation,01 Lab,30258,0,F9.10-12,SHER 301,Jan 10--Apr 29,H Haverkamp
NEP,481,Principles of Population Health,01,30520,3,"TU,TH13.10-14.25",SCRS 255,Jan 10--Apr 29,""
NEP,482,Nutrition and Exercise Practicum II,01,30237,3,TU8.10-9,SCRS 255,Jan 10--Apr 29,J Larsen
NEP,482,Nutrition and Exercise Practicum II,01 Lab,30563,0,"M,W11.30-14.30",SHER 334,Jan 10--Apr 29,J Larsen
NEP,482,Nutrition and Exercise Practicum II,02 Lab,30565,0,"M,W15.30-18.30",SHER 334,Jan 10--Apr 29,J Larsen
NEP,490,Exercise and Nutrition Internship,01,30238,V,ARRGT,ARR ARR,Jan 10--Apr 29,J Larsen
NEP,495,[CAPS] [M] Interprofessional Capstone in Nutrition and Exercise Physiology,01,30236,3,"M,W9.10-10.25",SHER 317,Jan 10--Apr 29,J Larsen
NEP,499,Special Problems,01,27633,V,"TU,TH14.55-16.10",VC ARR,Jan 10--Apr 29,F Carbonero
NEP,499,Special Problems,02,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,G Duncan
NEP,499,Special Problems,03,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,H Haverkamp
NEP,499,Special Problems,04,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,J Larsen
NEP,499,Special Problems,05,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,M Perrigue
NEP,499,Special Problems,06,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,P Solverson
NEP,501,Community Supervised Practice,01,30248,5,"M,TU14.10-16",SCRS 216,Jan 10--Jan 11,A Davis
NEP,501,Community Supervised Practice,"","","",F14.10-18,ARR ARR,"",""
NEP,501,Community Supervised Practice,"","","",F13.10-14,SCRS 216,"",""
NEP,501,Community Supervised Practice,"","","",F13.10-14,SCRS 216,"",""
NEP,501,Community Supervised Practice,"","","",F13.10-14,SCRS 216,"",""
NEP,501,Community Supervised Practice,01 Lab,30263,0,ARRGT,ARR ARR,Jan 10--Apr 29,A Davis
NEP,505,Graduate Seminar,01,30266,1,F12.10-13,SHER 310,Jan 10--Apr 29,G Duncan
NEP,505,Graduate Seminar,02,27642,1,F12.10-13,ARR ARR,Jan 10--Apr 29,G Duncan
NEP,525,Advanced Human Nutrition,01,30522,3,"TU,TH9.10-10.25",SAC 347,Jan 10--Apr 29,M Perrigue
NEP,526,Nutritional Epidemiology,01,30524,3,"M,W9.10-10.25",SAC 45,Jan 10--Apr 29,P Monsivais
NEP,540,Clinical Supervised Practice,01,30253,10,"M,TU9.10-15",SNRS 201,Jan 10--Jan 11,L Heneghen
NEP,540,Clinical Supervised Practice,"","","",W9.10-14,SNRS 201,"",""
NEP,540,Clinical Supervised Practice,01 Lab,30260,0,ARRGT,ARR ARR,Jan 10--Apr 29,L Heneghen
