Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,498,Accounting Internship,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,C Latham
ANTH,101,[DIVR] Introduction to Anthropology,01,05482,3,M11-14.20,WEB ARR,May 10--Jun 18,N Hess
ANTH,201,[HUM] Art and Society,01,07886,3,W11-11.30,WEB ARR,Jun 21--Jul 30,K Dhawan
ANTH,309,[SSCI] Cultural Ecology,01,05483,3,ARRGT,ARR ARR,May 10--Jun 18,B Hewlett
ANTH,381,[BSCI] Primate Behavioral Ecology,01,05484,3,ARRGT,ARR ARR,Jun 21--Jul 30,N Hess
ANTH,399,Archaeological Field School,01,"",6,ARRGT,ARR ARR,Jun 21--Jul 30,K Shantry
ANTH,599,Archaeological Field School,01,"",6,ARRGT,ARR ARR,Jun 21--Jul 30,K Shantry
ASTRONOM,135,[PSCI] Astronomy,01,05489,4,"M,W9.55-12.10",WEB ARR,May 10--Jun 18,J Vazquez-Bello
ASTRONOM,135,[PSCI] Astronomy,01 Lab,05490,0,TU19-21.20,WEB ARR,May 10--Jun 18,J Vazquez-Bello
B_A,211,"Ethics, Teams, and Innovation",01,07573,3,"TU,TH11-14.20",WEB ARR,Jun 21--Jul 30,J Simmons
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,07574,3,"M,W11-14.20",WEB ARR,May 10--Jun 18,Y He
BIOLOGY,111,[BSCI] Laboratory Experiments in Biology and Genetics,01,07580,1,"M,W9.15-12.35",WEB ARR,May 10--Jun 18,G Gakhar
BIOLOGY,140,[BSCI] Introduction to Nutritional Science,01,05492,3,"M,W11-13",WEB ARR,Jun 21--Jul 30,D Wilmington
BIOLOGY,301,General Genetics,01,05515,4,"TU,TH9.55-11.35",WEB ARR,May 10--Jul 30,W Cushwa
BIOLOGY,372,[M] General Ecology,01,07581,4,"M,W11-13.30",WEB ARR,Jun 07--Jul 30,K Turner
BIOLOGY,372,[M] General Ecology,01 Lab,07582,0,"M,W13.45-16.15",WEB ARR,Jun 07--Jul 30,K Turner
BIOLOGY,408,[CAPS] [M] Contemporary Genetics,01,05494,3,"TU,TH11-13",WEB ARR,Jun 21--Jul 30,D Wilmington
BIOLOGY,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,""
CHEM,106,Principles of Chemistry II,01,07313,4,"M,W12.50-15.20",WEB ARR,Jun 07--Jul 30,E Valente
CHEM,106,Principles of Chemistry II,01 Lab,07314,0,TU12.50-17.50,WEB ARR,Jun 07--Jul 30,""
CHEM,345,Organic Chemistry I,01,07315,4,"TU,TH,F11-12.35",WEB ARR,May 10--Jul 02,A Otoikhian
CHEM,345,Organic Chemistry I,01 Lab,07316,0,TH13.30-18.30,WEB ARR,May 10--Jul 02,""
COM,101,[SSCI] Media and Society,01,05471,3,ARRGT,ARR ARR,May 10--Jun 18,M Levan
COM,102,[COMM] Public Speaking in the Digital Age,01,05473,3,"TU,TH11-12.35",WEB ARR,May 10--Jun 18,M Levan
COM,210,[COMM] Multimedia Content Creation,01,05474,3,ARRGT,ARR ARR,Jun 21--Jul 30,N Iyer
COM,300,[M] Writing in Communication,02,08498,3,ARRGT,ARR ARR,Jun 07--Jul 16,E Candello
COM,471,[CAPS] Stereotypes in Communication,01,05475,3,ARRGT,ARR ARR,Jun 21--Jul 30,N Iyer
COM,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,N Iyer
COMSTRAT,495,Strategic Communication Professional Internship,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,N Iyer
CRM_J,490,Criminal Justice Internship,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,L Collins-Levy
CS,700,"Master's Research, Thesis, and/or Examination",01,05846,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
DTC,101,[ARTS] Introduction to Digital Technology & Culture,01,05509,3,"TU,TH11-14.20",WEB ARR,Jun 21--Jul 30,W Luers
DTC,201,[ARTS] Tools and Methods for Digital Technology,01,05510,3,"M,W14.30-17.50",WEB ARR,May 10--Jun 18,B Grell
DTC,336,Multimedia Design,01,05513,3,"TU,TH14.30-17.50",WEB ARR,May 10--Jun 18,B Grell
DTC,354,Digital Storytelling,01,05514,3,"TU,TH14.30-17.50",WEB ARR,Jun 21--Jul 30,W Luers
ECE,700,"Master's Research, Thesis, and/or Examination",01,05831,V,ARRGT,ARR ARR,May 10--Jul 30,F Zhao
ED_AD,522,Topics in Education,01,"",3,TU17.45-20.30,WEB ARR,May 10--Jul 30,K Rodela
ED_AD,561,Introduction to College Student Development,01,"",3,TU17.10-20.30,WEB ARR,May 10--Jul 30,K Huggins
ED_AD,580,School Organization and Administration,01,"",3,TU17.45-20.30,WEB ARR,May 10--Jun 18,J Walls
ED_AD,582,Policy Formation and Analysis in Education,01,"",3,TH17.45-20.30,WEB ARR,May 10--Jul 30,S Calderone
ED_AD,800,"Doctoral Research, Dissertation, and/or Examination",01,05497,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
ED_PSYCH,505,Research Methods I,01,05567,3,"M,TU,W,TH,F12.30-13.20",WEB ARR,Jun 21--Jul 30,""
ED_PSYCH,508,Educational Statistics,01,"",3,TH17.10-20.30,WEB ARR,Jun 21--Jul 30,S Dai
ED_PSYCH,508,Educational Statistics,02,06739,3,"M,TU,W,TH,F12.30-13.20",WEB ARR,May 10--Jun 18,R Wong
ENGLISH,309,Women Writers,01,07867,3,"M,W11-14.20",WEB ARR,May 10--Jun 18,K Robertson
ENGLISH,340,Science Fiction Film,01,05487,3,"TU,TH11-14.20",WEB ARR,May 10--Jun 18,C Siegel
ENGLISH,340,Science Fiction Film,01 Lab,05488,0,ARRGT,ARR ARR,May 10--Jun 18,C Siegel
ENGLISH,402,[WRTG] [M] Technical and Professional Writing,01,05486,3,"M,W14.30-16.05",WEB ARR,May 10--Jun 18,W Olson
ENGLISH,494,[CAPS] [M] Advanced Topics in Literature,01,07869,3,"TU,TH11-14.20",WEB ARR,Jun 21--Jul 30,C Ratzlaff
ENGLISH,498,Internship,01,05841,V,ARRGT,ARR ARR,May 10--Jul 30,J Phelps
FIN,498,Finance Internship,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,Y He
FINE_ART,307,[ARTS] [M] The Arts of Renaissance Europe,01,06731,3,"TU,TH11-14.20",WEB ARR,Jun 21--Jul 30,N Thrush
FOR_LANG,101,[HUM] Introduction to the World of Languages,01,05476,3,ARRGT,ARR ARR,May 10--Jun 18,J Grenier-Winther
FOR_LANG,130,[HUM] Global Literature in Translation,01,05477,3,TU18-20.55,WEB ARR,Jun 21--Jul 30,C Gulam
H_D,101,[SSCI] Human Development Across the Lifespan,01,05501,3,"TU,TH11-13",WEB ARR,Jun 21--Jul 30,S Reisz
H_D,403,[CAPS] Families in Poverty,01,05500,3,TU11-12.30,WEB ARR,May 10--Jun 18,Y Sano
H_D,406,Work and Family,01,05834,3,W12-13.30,WEB ARR,May 10--Jun 18,A Jackson
H_D,485,Participation in Human Development Research,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,""
H_D,498,Field Placement,01,"",V,ARRGT,ARR ARR,May 10--Jul 30,S Rolerkite
H_D,600,Special Projects or Independent Study,01,06730,V,ARRGT,ARR ARR,May 10--Jul 30,(multiple)
HISTORY,105,[ROOT] The Roots of Contemporary Issues,01,05479,3,ARRGT,ARR ARR,Jun 21--Jul 30,J Losavio
HISTORY,305,[ROOT] Roots of Contemporary Issues For Transfer Students,01,05480,3,ARRGT,ARR ARR,May 10--Jun 18,C Foss
