Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
ACCTG,230,Introduction to Financial Accounting,01,"",3,ARRGT,ARR ARR,Oct 17--Dec 11,N Pearson
AFS,201,Systems Skills for Agricultural and Food Systems,01,15122,3,"M,W,F12.10-13",EVRT 340,Aug 22--Dec 09,H Henning
AFS,336,"[SSCI] Agriculture, Environment, and Community",01,15275,3,"TU,TH9.10-10.25",EVRT 200D,Aug 22--Dec 09,J Goldberger
ANTH,203,[DIVR] Global Cultural Diversity,01,15249,3,ARRGT,ARR ARR,Aug 22--Dec 09,C Heckelsmiller
ANTH,268,"[BSCI] Sex, Evolution, and Human Nature",01,14827,3,ARRGT,ARR ARR,Aug 22--Dec 09,T Alvarez
ANTH,302,[SSCI] Childhood and Culture,01,14828,3,ARRGT,ARR ARR,Aug 22--Dec 09,C Smith
ANTH,320,[DIVR] Native Peoples of North America,01,14830,3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mcnassar
ANTH,331,[SSCI] Archaeology of the Americas,01,15250,3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mcnassar
ANTH,350,"[DIVR] Speech, Thought, and Culture",01,"",3,ARRGT,ARR ARR,Aug 22--Dec 09,A Sinha
ANTH,404,[CAPS] The Self in Culture,01,14808,3,ARRGT,ARR ARR,Aug 22--Dec 09,J Mageo
ANTH,418,Human Issues in International Development,01,14809,3,ARRGT,ARR ARR,Aug 22--Dec 09,R Quinlan
B_A,100,Introduction to Business,01,"",3,ARRGT,ARR ARR,Oct 17--Dec 11,C Cooney
B_A,211,"Ethics, Teams, and Innovation",01,15364,3,ARRGT,ARR ARR,Oct 17--Dec 11,N Yaws-Gonzalez
B_A,211,"Ethics, Teams, and Innovation",03,16460,3,"M,W13.30-14.40",EVRT 200D,Aug 22--Dec 09,J Gladstone
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",02,15859,3,"TU,TH10.35-11.50",EVRT 357,Aug 22--Dec 09,R Boyer
COM,101,[SSCI] Media and Society,01,14821,3,ARRGT,ARR ARR,Aug 22--Dec 09,R Taflinger
COM,102,[COMM] Public Speaking in the Digital Age,01,14773,3,ARRGT,ARR ARR,Aug 22--Dec 09,I Haider
COM,105,[HUM] Communication in Global Contexts,01,14790,3,ARRGT,ARR ARR,Aug 22--Dec 09,C Curtis
COM,138,Introduction to Communication,01,14769,3,ARRGT,ARR ARR,Aug 22--Dec 09,M Starr-Gepford
COM,210,[COMM] Multimedia Content Creation,01,14777,3,ARRGT,ARR ARR,Aug 22--Dec 09,E Price
COM,275,Communication Seminar,01,16321,V,ARRGT,ARR ARR,Aug 22--Oct 02,I Haider
COM,275,Communication Seminar,02,"",V,ARRGT,ARR ARR,Oct 31--Dec 16,I Haider
COM,309,Quantitative Research Methods,02,15161,3,ARRGT,ARR ARR,Aug 22--Dec 09,W Peng
COM,421,[CAPS] Intercultural Communication and Globalization,01,16050,3,"M,W10.35-11.50",EVRT 358,Aug 22--Dec 09,R Richardson
COM,464,Gender and the Media,02,16052,3,"M,W13.30-14.45",EVRT 254,Aug 22--Dec 09,R Richardson
COM,475,Communication Seminar,02,15162,3,ARRGT,ARR ARR,Aug 22--Dec 09,M Loveless
COM,475,Communication Seminar,03,15163,3,ARRGT,ARR ARR,Aug 22--Dec 09,L Pintak
COM,479,Youth and the Media,01,14776,3,ARRGT,ARR ARR,Aug 22--Dec 09,L Tsui
COM,499,Special Problems,01,"",V,ARRGT,ARR ARR,Aug 22--Dec 09,(multiple)
COMJOUR,333,[M] Reporting Across Platforms,03,15386,3,"TU,TH9.10-10.25",EVRT 254,Aug 22--Dec 09,V Mcvay
COMSTRAT,301,Foundations of Persuasion,01,16062,3,"M,W9.10-10.25",EVRT 254,Aug 22--Dec 09,R Richardson
COMSTRAT,310,Digital Content Promotion,01,14795,3,"M,W7.45-9",EVRT 254,Aug 22--Dec 09,B Atwood
COMSTRAT,312,Principles of Public Relations,01,14758,3,ARRGT,ARR ARR,Aug 22--Dec 09,B Atwood
COMSTRAT,380,Advertising Principles and Practices,01,14789,3,ARRGT,ARR ARR,Aug 22--Dec 09,M Schotzko
COMSTRAT,383,[M] Media Strategies and Techniques for Public Relations,02,15152,3,ARRGT,ARR ARR,Aug 22--Dec 09,B Atwood
COMSTRAT,395,Introduction to Integrated Strategic Communication and Management,01,15880,3,ARRGT,ARR ARR,Aug 22--Dec 09,A Kirkpatrick
COMSTRAT,476,Consumer Insights and Branding,01,14760,3,"M,W12-13.15",EVRT 254,Aug 22--Dec 09,C Wilder
