Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
AIS,320,[DIVR] Native Peoples of North America,01,01643,3,M12.45-14.20,TCOL 102,May 09--Jun 19,M Mansperger
AIS,320,[DIVR] Native Peoples of North America,"","","","TU,W,TH12.45-14.20",WEB ARR,"",""
ANTH,320,[DIVR] Native Peoples of North America,01,01621,3,M12.45-14.20,TCOL 102,May 09--Jun 19,M Mansperger
ANTH,320,[DIVR] Native Peoples of North America,"","","","TU,W,TH12.45-14.20",WEB ARR,"",""
ANTH,498,Anthropology Internship,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,M Mansperger
ASIA,387,World War II in Asia and the Pacific,01,01642,3,"M,W14.30-17.50",VC ARR,Jun 20--Jul 29,B Farley
ASIA,387,World War II in Asia and the Pacific,"","","",M14.30-17.50,TFLO 210,"",""
ASIA,387,World War II in Asia and the Pacific,"","","",W14.30-17.50,TFLO 210,"",""
ASIA,387,World War II in Asia and the Pacific,"","","",W14.30-17.50,TFLO 210,"",""
BIOLOGY,495,"Internship in Biology, Botany, and Zoology",01,"",V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
BIOLOGY,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
BIOLOGY,700,"Master's Research, Thesis, and/or Examination",01,01422,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
BIOLOGY,702,"Master's Special Problems, Directed Study and/or Examination",01,01423,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
BIOLOGY,800,"Doctoral Research, Dissertation, and/or Examination",01,01449,V,ARRGT,ARR ARR,May 09--Jul 29,A Felsot
BSYSE,600,Special Projects or Independent Study,01,01466,V,ARRGT,ARR ARR,May 09--Jul 29,""
BSYSE,700,"Master's Research, Thesis, and/or Examination",01,01393,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
BSYSE,702,"Master's Special Problems, Directed Study and/or Examination",01,01394,V,ARRGT,ARR ARR,May 09--Jul 29,""
BSYSE,800,"Doctoral Research, Dissertation, and/or Examination",01,01395,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CE,215,Mechanics of Materials,01,01589,3,"M,W7.30-10.50",TFLO 224,Jun 20--Jul 29,M Mortuza
CE,495,Engineering Experience,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CE,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CE,600,Special Projects or Independent Study,01,01378,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CE,700,"Master's Research, Thesis and/or Examination",01,01379,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CE,702,"Master's Special Problems, Directed Study, and/or Examination",01,01380,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CE,800,"Doctoral Research, Dissertation, and/or Examination",01,01381,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CHE,461,Introduction to Nuclear Engineering,01,05468,3,"M,TU,W,TH,F16.30-17.45",TFLO 256,Jun 20--Jul 31,D Koch
CHE,700,"Master's Research, Thesis, and/or Examination",01,01396,V,ARRGT,ARR ARR,May 09--Jul 29,""
CHE,702,"Master's Special Problems, Directed Study, and/or Examination",01,01397,V,ARRGT,ARR ARR,May 09--Jul 29,""
CHE,800,"Doctoral Research, Dissertation, and/or Examination",01,01398,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CHEM,102,Chemistry Related to Life Sciences,01,01660,4,"M,TU,W,TH9.15-10.25",TBSL 103,May 23--Jul 15,N Devarie Baez
CHEM,102,Chemistry Related to Life Sciences,01 Lab,01661,0,"TU,TH12.50-15.20",TBSL 173,May 23--Jul 15,N Devarie Baez
CHEM,345,Organic Chemistry I,01,01653,4,"M,TU,W,TH14-15.10",TFLO 133,May 23--Jul 15,N Devarie Baez
CHEM,345,Organic Chemistry I,01 Lab,01659,0,"TU,TH16-18.50",TBSL 173,May 23--Jul 15,N Devarie Baez
CHEM,345,Organic Chemistry I,02 Lab,01665,0,"TU,TH9-11.50",TBSL 173,May 23--Jul 15,N Devarie Baez
CHEM,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,N Devarie Baez
CPT_S,122,Data Structures C/C++,01,01391,4,"M,W16.15-17.50",TFLO 224,May 09--Jul 29,N Tenney
CPT_S,122,Data Structures C/C++,01 Lab,01392,0,TU16.15-19.35,TFLO 224,May 09--Jul 29,N Tenney
CPT_S,322,[M] Software Engineering Principles I,01,05695,3,"M,W,F16.30-19.10",TFLO 133,Jun 27--Jul 29,L Delatorre
CPT_S,490,Work Study Internship,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,L Delatorre
CPT_S,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CPT_S,600,Special Projects or Independent Study,01,01383,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CPT_S,700,"Master's Research, Thesis, and/or Examination",01,01384,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CPT_S,702,"Master's Special Problems, Directed Study, and/or Examination",01,01385,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CPT_S,800,"Doctoral Research, Dissertation, and/or Examination",01,01386,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
CROP_SCI,495,Research Experience,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,J Blauer
DTC,498,Internship,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,A Plemons
E_A,300,Educ Abroad,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,M Styborski
E_E,221,Numerical Computing for Engineers,01,01618,2,"M,W12.20-14.35",TFLO 244,Jun 20--Jul 29,D Lowry
E_E,261,Electrical Circuits I,01,01590,3,"TU,TH11-14.20",TFLO 131,Jun 20--Jul 29,D Lowry
E_E,262,Electrical Circuits Laboratory I,01,01591,1,"TU,TH14.30-17.50",TFLO 164,Jun 20--Jul 29,D Lowry
E_E,262,Electrical Circuits Laboratory I,"","","","TU,TH14.30-17.50",TFLO 161,"",""
E_E,495,Internship in Electrical Industry,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
E_E,600,Special Projects or Independent Study,01,01388,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
E_E,700,"Master's Research, Thesis, and/or Examination",01,01389,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
E_E,702,"Master's Special Problems, Directed Study, and/or Examination",01,01390,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
ED_AD,521,Topics in Education,01,"",3,"M,W17.10-20.30",TFLO 256,May 09--Jun 19,G Pettett
ED_AD,582,Policy Formation and Analysis in Education,01,"",3,TH17.45-20.30,WEB ARR,May 09--Jul 29,S Calderone
ED_AD,582,Policy Formation and Analysis in Education,"","","",F13-18,TCOL 102,"",""
ED_AD,582,Policy Formation and Analysis in Education,"","","",SA9-16,TCOL 102,"",""
ED_AD,585,Financial Management in Education,01,01687,3,"M,W17.10-20.30",TFLO 260,Jun 20--Jul 29,K Cloninger
ED_AD,588,The Law and Education,01,01629,3,"M,W17.10-20.30",TFLO 256,May 09--Jun 19,G Pettett
ED_AD,800,"Doctoral Research, Dissertation, and/or Examination",01,01448,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
ED_MTHSC,800,"Doctoral Research, Dissertation, and/or Examination",01,01581,V,ARRGT,ARR ARR,May 09--Jul 29,(multiple)
ED_PSYCH,401,"Classroom Assessment, Elementary",01,01594,3,"M,W14.30-17.50",TCOL 102,Jun 20--Jul 29,Y Ardasheva
FS,496,Internship in a Winery,01,"",2,ARRGT,ARR ARR,May 09--Jul 29,T Henick-Kling
HISTORY,110,[HUM] American History to 1877,01,04866,3,"M,W9.55-12.10",TFLO 210,May 09--Jun 19,T Hanshew
HISTORY,110,[HUM] American History to 1877,"","","",F9.55-12.10,VC ARR,"",""
HISTORY,387,World War II in Asia and the Pacific,01,01641,3,"M,W14.30-17.50",VC ARR,Jun 20--Jul 29,B Farley
HISTORY,387,World War II in Asia and the Pacific,"","","",M14.30-17.50,TFLO 210,"",""
HISTORY,387,World War II in Asia and the Pacific,"","","",W14.30-17.50,TFLO 210,"",""
HISTORY,387,World War II in Asia and the Pacific,"","","",W14.30-17.50,TFLO 210,"",""
HORT,399,Professional Work Experience,01,01430,V,ARRGT,ARR ARR,May 09--Jul 29,A Snider
HORT,495,Research Experience,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,J Blauer
HORT,499,Special Problems,01,"",V,ARRGT,ARR ARR,May 09--Jul 29,R Sharpe
KINES,536,Methods of Health and Physical Education,01,01636,2,"TU,TH9.30-11.45",TCOL 102,Jun 20--Jul 29,R Best
